alert_id,customer_id,trigger_rule,alert_date,analyst_decision,investigation_time_minutes
ALT_00000,CUST_0000,structuring,2024-01-18,escalated,33
ALT_00001,CUST_0000,threshold,2024-01-20,SAR_filed,37
ALT_00002,CUST_0000,large_cash,2024-01-27,SAR_filed,19
ALT_00003,CUST_0000,rapid_movement,2024-01-20,SAR_filed,18
ALT_00004,CUST_0000,geographic_risk,2024-01-23,cleared,36
ALT_00005,CUST_0000,dormant_activation,2024-01-19,cleared,17
ALT_00006,CUST_0000,structuring,2024-02-19,cleared,41
ALT_00007,CUST_0000,threshold,2024-02-20,cleared,39
ALT_00008,CUST_0000,large_cash,2024-02-20,cleared,22
ALT_00009,CUST_0000,rapid_movement,2024-02-27,escalated,38
ALT_00010,CUST_0000,geographic_risk,2024-02-24,cleared,21
ALT_00011,CUST_0000,dormant_activation,2024-02-18,cleared,43
ALT_00012,CUST_0000,structuring,2024-03-23,SAR_filed,39
ALT_00013,CUST_0000,threshold,2024-03-25,cleared,36
ALT_00014,CUST_0000,large_cash,2024-03-23,escalated,26
ALT_00015,CUST_0000,dormant_activation,2024-03-21,escalated,24
ALT_00016,CUST_0000,geographic_risk,2024-03-24,cleared,24
ALT_00017,CUST_0000,threshold,2024-04-21,cleared,31
ALT_00018,CUST_0000,threshold,2024-05-20,escalated,22
ALT_00019,CUST_0000,large_cash,2024-05-22,cleared,33
ALT_00020,CUST_0000,rapid_movement,2024-05-17,cleared,41
ALT_00021,CUST_0000,structuring,2024-06-26,escalated,33
ALT_00022,CUST_0000,threshold,2024-06-16,cleared,39
ALT_00023,CUST_0000,large_cash,2024-06-19,cleared,35
ALT_00024,CUST_0000,geographic_risk,2024-06-16,cleared,41
ALT_00025,CUST_0000,rapid_movement,2024-06-21,cleared,34
ALT_00026,CUST_0000,dormant_activation,2024-06-18,SAR_filed,43
ALT_00027,CUST_0000,threshold,2024-07-17,escalated,17
ALT_00028,CUST_0000,structuring,2024-08-17,cleared,24
ALT_00029,CUST_0000,threshold,2024-08-26,cleared,36
ALT_00030,CUST_0000,large_cash,2024-08-18,cleared,25
ALT_00031,CUST_0000,structuring,2024-09-24,cleared,15
ALT_00032,CUST_0000,threshold,2024-09-21,cleared,42
ALT_00033,CUST_0000,large_cash,2024-09-23,cleared,35
ALT_00034,CUST_0000,geographic_risk,2024-09-21,cleared,29
ALT_00035,CUST_0000,rapid_movement,2024-09-16,cleared,25
ALT_00036,CUST_0000,structuring,2024-10-19,cleared,19
ALT_00037,CUST_0000,threshold,2024-10-18,SAR_filed,18
ALT_00038,CUST_0000,large_cash,2024-10-20,cleared,33
ALT_00039,CUST_0000,geographic_risk,2024-10-23,cleared,35
ALT_00040,CUST_0000,structuring,2024-11-15,cleared,31
ALT_00041,CUST_0000,threshold,2024-11-17,cleared,34
ALT_00042,CUST_0000,large_cash,2024-11-19,cleared,38
ALT_00043,CUST_0000,structuring,2024-12-24,cleared,22
ALT_00044,CUST_0000,threshold,2024-12-19,cleared,34
ALT_00045,CUST_0000,large_cash,2024-12-24,SAR_filed,28
ALT_00046,CUST_0000,geographic_risk,2024-12-23,escalated,39
ALT_00047,CUST_0000,dormant_activation,2024-12-25,cleared,40
ALT_00048,CUST_0001,threshold,2024-01-25,cleared,33
ALT_00049,CUST_0001,rapid_movement,2024-01-19,cleared,44
ALT_00050,CUST_0001,geographic_risk,2024-01-22,cleared,19
ALT_00051,CUST_0001,threshold,2024-02-15,escalated,19
ALT_00052,CUST_0001,rapid_movement,2024-02-18,SAR_filed,19
ALT_00053,CUST_0001,threshold,2024-03-20,SAR_filed,20
ALT_00054,CUST_0001,rapid_movement,2024-03-18,SAR_filed,34
ALT_00055,CUST_0001,large_cash,2024-03-26,cleared,42
ALT_00056,CUST_0001,geographic_risk,2024-03-17,SAR_filed,26
ALT_00057,CUST_0001,structuring,2024-03-24,cleared,27
ALT_00058,CUST_0001,threshold,2024-04-27,escalated,43
ALT_00059,CUST_0001,rapid_movement,2024-04-21,cleared,26
ALT_00060,CUST_0001,threshold,2024-05-18,cleared,32
ALT_00061,CUST_0001,rapid_movement,2024-05-27,escalated,40
ALT_00062,CUST_0001,threshold,2024-06-22,escalated,16
ALT_00063,CUST_0001,rapid_movement,2024-06-26,SAR_filed,34
ALT_00064,CUST_0001,geographic_risk,2024-06-20,cleared,35
ALT_00065,CUST_0001,large_cash,2024-06-24,escalated,40
ALT_00066,CUST_0001,structuring,2024-06-24,SAR_filed,44
ALT_00067,CUST_0001,threshold,2024-07-20,cleared,40
ALT_00068,CUST_0001,rapid_movement,2024-07-26,escalated,25
ALT_00069,CUST_0001,threshold,2024-08-17,escalated,42
ALT_00070,CUST_0001,rapid_movement,2024-08-20,cleared,29
ALT_00071,CUST_0001,threshold,2024-09-18,escalated,28
ALT_00072,CUST_0001,rapid_movement,2024-09-19,cleared,18
ALT_00073,CUST_0001,threshold,2024-10-16,escalated,15
ALT_00074,CUST_0001,rapid_movement,2024-10-26,cleared,26
ALT_00075,CUST_0001,threshold,2024-11-15,cleared,15
ALT_00076,CUST_0001,rapid_movement,2024-11-16,cleared,18
ALT_00077,CUST_0001,threshold,2024-12-24,SAR_filed,42
ALT_00078,CUST_0001,rapid_movement,2024-12-24,cleared,21
ALT_00079,CUST_0001,geographic_risk,2024-12-16,SAR_filed,41
ALT_00080,CUST_0001,dormant_activation,2024-12-24,SAR_filed,16
ALT_00081,CUST_0002,geographic_risk,2024-01-16,SAR_filed,22
ALT_00082,CUST_0002,threshold,2024-03-17,cleared,33
ALT_00083,CUST_0002,rapid_movement,2024-05-25,cleared,23
ALT_00084,CUST_0002,rapid_movement,2024-06-24,escalated,28
ALT_00085,CUST_0002,large_cash,2024-12-18,cleared,29
ALT_00086,CUST_0003,threshold,2024-01-19,SAR_filed,20
ALT_00087,CUST_0003,dormant_activation,2024-01-18,cleared,29
ALT_00088,CUST_0003,threshold,2024-02-24,cleared,15
ALT_00089,CUST_0003,rapid_movement,2024-02-27,escalated,20
ALT_00090,CUST_0003,threshold,2024-03-18,escalated,28
ALT_00091,CUST_0003,threshold,2024-04-15,cleared,44
ALT_00092,CUST_0003,structuring,2024-05-23,escalated,21
ALT_00093,CUST_0003,threshold,2024-05-25,escalated,44
ALT_00094,CUST_0003,large_cash,2024-05-24,cleared,19
ALT_00095,CUST_0003,rapid_movement,2024-05-21,SAR_filed,27
ALT_00096,CUST_0003,threshold,2024-06-23,cleared,28
ALT_00097,CUST_0003,structuring,2024-06-17,escalated,18
ALT_00098,CUST_0003,large_cash,2024-06-20,cleared,25
ALT_00099,CUST_0003,geographic_risk,2024-06-18,SAR_filed,38
ALT_00100,CUST_0003,threshold,2024-07-16,escalated,36
ALT_00101,CUST_0003,threshold,2024-08-22,cleared,29
ALT_00102,CUST_0003,threshold,2024-09-27,escalated,27
ALT_00103,CUST_0003,threshold,2024-10-16,escalated,17
ALT_00104,CUST_0003,geographic_risk,2024-10-15,escalated,36
ALT_00105,CUST_0003,dormant_activation,2024-10-15,cleared,27
ALT_00106,CUST_0003,large_cash,2024-10-24,cleared,18
ALT_00107,CUST_0003,threshold,2024-11-25,escalated,18
ALT_00108,CUST_0003,rapid_movement,2024-11-24,escalated,36
ALT_00109,CUST_0003,dormant_activation,2024-11-26,cleared,17
ALT_00110,CUST_0003,threshold,2024-12-15,escalated,16
ALT_00111,CUST_0003,rapid_movement,2024-12-26,cleared,27
ALT_00112,CUST_0003,dormant_activation,2024-12-26,SAR_filed,40
ALT_00113,CUST_0003,structuring,2024-12-20,SAR_filed,40
ALT_00114,CUST_0004,rapid_movement,2024-01-19,cleared,41
ALT_00115,CUST_0004,rapid_movement,2024-02-19,cleared,21
ALT_00116,CUST_0004,rapid_movement,2024-03-21,cleared,17
ALT_00117,CUST_0004,rapid_movement,2024-04-19,cleared,30
ALT_00118,CUST_0004,rapid_movement,2024-05-19,cleared,30
ALT_00119,CUST_0004,rapid_movement,2024-06-19,escalated,25
ALT_00120,CUST_0004,large_cash,2024-06-25,escalated,21
ALT_00121,CUST_0004,rapid_movement,2024-07-15,escalated,23
ALT_00122,CUST_0004,structuring,2024-07-15,escalated,20
ALT_00123,CUST_0004,large_cash,2024-07-15,cleared,33
ALT_00124,CUST_0004,rapid_movement,2024-08-23,SAR_filed,43
ALT_00125,CUST_0004,rapid_movement,2024-09-25,cleared,39
ALT_00126,CUST_0004,rapid_movement,2024-10-16,cleared,30
ALT_00127,CUST_0004,geographic_risk,2024-10-23,cleared,29
ALT_00128,CUST_0004,threshold,2024-10-27,cleared,37
ALT_00129,CUST_0004,dormant_activation,2024-10-16,cleared,15
ALT_00130,CUST_0004,rapid_movement,2024-11-24,cleared,27
ALT_00131,CUST_0004,rapid_movement,2024-12-20,cleared,31
ALT_00132,CUST_0004,dormant_activation,2024-12-26,escalated,43
