timestamp,model_name,features_version,val_auc,train_auc,n_train,n_val,base_rate_train,notes
2026-05-01 15:59:08,XGBoost_base,features_base_v1,0.8557,1.0,500,200,0.042,"scale_pos_weight=22.8, max_depth=4, lr=0.05, n_est=300, PR-AUC=0.4552"
2026-05-01 15:59:14,XGBoost_tsfresh,features_base_and_tsfresh_v1_filtered_12cols,0.879,1.0,500,200,0.042,"scale_pos_weight=22.8, 12 tsfresh cols survived, PR-AUC=0.4916"
2026-05-02 13:25:39,XGBoost_base,features_base_v1,0.8557,1.0,500,200,0.042,"scale_pos_weight=22.8, max_depth=4, lr=0.05, n_est=300, PR-AUC=0.4552"
2026-05-02 13:25:52,XGBoost_tsfresh,features_base_and_tsfresh_v1_filtered_12cols,0.879,1.0,500,200,0.042,"scale_pos_weight=22.8, 12 tsfresh cols survived, PR-AUC=0.4916"
2026-05-02 13:27:44,XGBoost_base,features_base_v1,0.8901,0.9999,500,200,0.042,"scale_pos_weight=22.8, max_depth=4, lr=0.05, n_est=300, PR-AUC=0.6173"
2026-05-02 13:29:19,XGBoost_tsfresh,features_base_and_tsfresh_v1_filtered_12cols,0.8834,0.9995,500,200,0.042,"scale_pos_weight=22.8, 12 tsfresh cols survived, PR-AUC=0.3651"
2026-05-05 19:56:25,XGBoost_base,features_base_v1,0.8901,0.9999,500,200,0.042,"scale_pos_weight=22.8, max_depth=4, lr=0.05, n_est=300, PR-AUC=0.6173"
2026-05-05 19:56:37,XGBoost_tsfresh,features_base_and_tsfresh_v1_filtered_12cols,0.8834,0.9995,500,200,0.042,"scale_pos_weight=22.8, 12 tsfresh cols survived, PR-AUC=0.3651"
2026-05-05 20:00:00,XGBoost_tsfresh,features_base_and_tsfresh_v1_filtered_12cols,0.8999,0.9972,500,200,0.042,"scale_pos_weight=22.8, 12 tsfresh cols survived, PR-AUC=0.5908"
2026-05-05 20:08:10,XGBoost_base,features_base_v1,0.8557,1.0,500,200,0.042,"scale_pos_weight=22.8, max_depth=4, lr=0.05, n_est=300, PR-AUC=0.4552"
2026-05-05 20:08:26,XGBoost_tsfresh,features_base_and_tsfresh_v1_filtered_12cols,0.879,1.0,500,200,0.042,"scale_pos_weight=22.8, 12 tsfresh cols survived, PR-AUC=0.4916"
2026-05-05 20:10:12,XGBoost_base,features_base_v1,0.8901,0.9999,500,200,0.042,"scale_pos_weight=22.8, max_depth=4, lr=0.05, n_est=300, PR-AUC=0.6173"
2026-05-05 20:12:18,XGBoost_base,features_base_v1,0.8901,0.9999,500,200,0.042,"scale_pos_weight=22.8, max_depth=4, lr=0.05, n_est=300, PR-AUC=0.6173"
2026-05-05 20:12:25,XGBoost_tsfresh,features_base_and_tsfresh_v1_filtered_12cols,0.879,1.0,500,200,0.042,"scale_pos_weight=22.8, 12 tsfresh cols survived, PR-AUC=0.4916"
2026-05-06 21:00:38,XGBoost_base,features_base_v1,0.8901,0.9999,500,200,0.042,"scale_pos_weight=22.8, max_depth=4, lr=0.05, n_est=300, PR-AUC=0.6173"
2026-05-06 21:00:49,XGBoost_tsfresh,features_base_and_tsfresh_v1_filtered_12cols,0.879,1.0,500,200,0.042,"scale_pos_weight=22.8, 12 tsfresh cols survived, PR-AUC=0.4916"
